"packet_id","expected_outcome","problem_owner_org","solution_provider_org","tag_count","citation_count","notes"
"curated-sme-a-004-lakeside-cnc-group","would_import","Lakeside CNC Group","Zoho Desk","2","1","Dry run matched import payload shape and admin ID was supplied."
"curated-sme-a-005-electric-mirror","would_import","Electric Mirror","Zoho CRM Plus","4","2","Dry run matched import payload shape and admin ID was supplied."
"curated-sme-b-001-budgy-smuggler","would_import","Budgy Smuggler","monday.com","2","2","Dry run matched import payload shape and admin ID was supplied."
"curated-sme-b-002-madhus","would_import","Madhu's","Zoho One","2","2","Dry run matched import payload shape and admin ID was supplied."
"curated-sme-b-003-my-wall-panels","would_import","My Wall Panels","Zoho Commerce","4","2","Dry run matched import payload shape and admin ID was supplied."
"curated-sme-b-004-counter-culture","would_import","Counter Culture Coffee","Zoho One","4","2","Dry run matched import payload shape and admin ID was supplied."
"curated-sme-b-005-rade-street","would_import","Rade Street","Zoho POS","4","2","Dry run matched import payload shape and admin ID was supplied."
"curated-sme-b-006-green-endeavour","would_import","Green Endeavour","Zoho CRM","2","2","Dry run matched import payload shape and admin ID was supplied."
"curated-sme-c-001-curantis-solutions","would_import","Curantis Solutions","AWS","3","2","Dry run matched import payload shape and admin ID was supplied."
"curated-sme-c-003-healthserve","would_import","HealthServe","Zoho Desk","2","2","Dry run matched import payload shape and admin ID was supplied."
