candidate_id,packet_id,organization_name,website,root_domain,country,primary_sector,secondary_sector,problem_summary,research_agent,ownership_status,claimed_at_utc,sme_evidence_status,primary_source_url,secondary_source_url,source_languages,named_solution_provider,citation_ready,duplicate_check_key,duplicate_status,duplicate_of_candidate_id,phase_status,validation_status,notes
A-001,,TIE,,,Egypt,Manufacturing,,Legacy ERP lacked integration and created costly vendor dependency,Research Agent A,claimed,2026-04-17T13:36:23.3861626Z,medium,,https://www.odoo.com/blog/customer-reviews-6/odoos-transformation-elevating-sportswear-manufacturing-at-tie-1448,en,Odoo,partial,tie+,clear,,research_candidate,pending,Website and independent SME confirmation still needed
A-002,,Mobilia Industry Company,,,Saudi Arabia,Manufacturing,,Disconnected tools did not provide clarity or efficiency for the factory,Research Agent A,claimed,2026-04-17T13:36:23.3861626Z,medium,,https://www.odoo.com/blog/customer-reviews-6/smart-manufacturing-made-simple-mobilia-factorys-success-with-odoo-1525,en,Odoo,partial,mobilia-industry-company+,clear,,research_candidate,pending,Strong process problem; website still needed
A-003,,CTS Industries,,,North America,Manufacturing,,Operational efficiency and visibility were insufficient across the business,Research Agent A,claimed,2026-04-17T13:36:23.3861626Z,strong,,https://www.odoo.com/blog/customer-reviews-6/enhancing-efficiency-and-visibility-cts-industries-transformation-1715,en,Odoo,partial,cts-industries+,clear,,research_candidate,pending,Odoo small-organization signal is strong
A-004,curated-sme-a-004-lakeside-cnc-group,Lakeside CNC Group,https://fanuccontrolrepair.com/,fanuccontrolrepair.com,United States,Manufacturing Services,Repair and maintenance,Spreadsheets and basic tools could not keep up with repair-management growth,Research Agent A,claimed,2026-04-17T13:36:23.3861626Z,strong,https://fanuccontrolrepair.com/,https://www.zoho.com/desk/customers/lakesidecncgroup.html,en,Zoho Desk,yes,lakeside-cnc-group+fanuccontrolrepair.com,clear,,validated,approved-with-minor-fixes,Validated in Phase 3; broken primary citation removed and packet approved with minor fixes
A-005,curated-sme-a-005-electric-mirror,Electric Mirror,https://www.electricmirror.com/,electricmirror.com,United States,Manufacturing,,Legacy CRM fit and training burden reduced efficiency,Research Agent A,claimed,2026-04-17T13:36:23.3861626Z,strong,https://www.electricmirror.com/,https://www.zoho.com/crm/crmplus/customers/electric-mirror.html,en,Zoho CRM Plus,yes,electric-mirror+electricmirror.com,clear,,validated,approved,Validated in Phase 3
A-006,,QUALI s.r.o.,,,Slovakia,Manufacturing,,Fragmented production and business systems constrained visibility and capacity,Research Agent A,claimed,2026-04-17T13:36:23.3861626Z,medium,,https://www.odoo.com/blog/customer-reviews-6/quali-operation-1493,en,Odoo,partial,quali-s-r-o+,clear,,research_candidate,pending,Need official website and country confirmation
A-007,,Helinox Europe,,,Netherlands,Manufacturing,Retail equipment,Finance and Shopify sales data were hard to analyze together,Research Agent A,claimed,2026-04-17T13:36:23.3861626Z,medium,,https://www.zoho.com/analytics/customers/helinox.html,en,Zoho Analytics,partial,helinox-europe+,clear,,research_candidate,pending,Small-size signal from Zoho Analytics
B-001,curated-sme-b-001-budgy-smuggler,Budgy Smuggler,https://budgysmuggler.com/,budgysmuggler.com,Australia,Retail,Ecommerce,Spreadsheets broke as orders scaled into the hundreds and thousands,Research Agent B,claimed,2026-04-17T13:36:23.3861626Z,strong,https://budgysmuggler.com/pages/about-us,https://monday.com/customers/budgy-smuggler,en,monday.com,yes,budgy-smuggler+budgysmuggler.com,clear,,validated,approved,Validated in Phase 3
B-002,curated-sme-b-002-madhus,Madhu's,https://www.madhus.co.uk/,madhus.co.uk,United Kingdom,Hospitality,Food service and events,Spreadsheet-based people and operations management could not support complex events,Research Agent B,claimed,2026-04-17T13:36:23.3861626Z,strong,https://www.madhus.co.uk/,https://www.zoho.com/one/customers/madhu.html,en,Zoho One,yes,madhu-s+madhus.co.uk,clear,,validated,approved,Validated in Phase 3
B-003,curated-sme-b-003-my-wall-panels,My Wall Panels,https://mywallpanels.co.uk/,mywallpanels.co.uk,United Kingdom,Retail,B2B ecommerce,Migrating online still left GST accounting and order tracking too manual,Research Agent B,claimed,2026-04-17T13:36:23.3861626Z,strong,https://mywallpanels.co.uk/contact/,https://www.zoho.com/commerce/mywallpanels-casestudy.html,en,Zoho Commerce,yes,my-wall-panels+mywallpanels.co.uk,clear,,validated,approved,Validated in Phase 3
B-004,curated-sme-b-004-counter-culture,Counter Culture,https://counterculturecoffee.com/,counterculturecoffee.com,United States,Food and Beverage,Retail and ecommerce,Patchwork software and an overly complex CRM reduced visibility and accountability,Research Agent B,claimed,2026-04-17T13:36:23.3861626Z,strong,https://counterculturecoffee.com/,https://www.zoho.com/one/customers/counter-culture.html,en,Zoho One,yes,counter-culture+counterculturecoffee.com,clear,,validated,approved,Validated in Phase 3
B-005,curated-sme-b-005-rade-street,Rade Street,https://radestreet.in/,radestreet.in,India,Retail,Apparel,Pen-and-paper billing created manipulation risk hidden losses and slow checkout,Research Agent B,claimed,2026-04-17T13:36:23.3861626Z,strong,https://radestreet.in/,https://www.zoho.com/en-in/pos/customers/rade-street.html,en,Zoho POS,yes,rade-street+radestreet.in,clear,,validated,approved,Validated in Phase 3
B-006,curated-sme-b-006-green-endeavour,Green Endeavour,https://greenendeavour.com.au/,greenendeavour.com.au,Australia,Food Distribution,Retail operations,Manual onboarding and retail-outlet auditing created errors and slowdowns,Research Agent B,claimed,2026-04-17T13:36:23.3861626Z,strong,https://greenendeavour.com.au/,https://www.zoho.com/crm/customers/green-endeavour.html,en,Zoho CRM,yes,green-endeavour+greenendeavour.com.au,clear,,validated,approved,Validated in Phase 3
B-007,,Caple,,,India,Retail,,Pricing inconsistency and fragmented day-to-day processes affected operations,Research Agent B,claimed,2026-04-17T13:36:23.3861626Z,weak,,https://www.zoho.com/one/customers/caple.html,en,Zoho One,partial,caple+,clear,,research_candidate,pending,Reserve candidate until stronger SME evidence is added
C-001,curated-sme-c-001-curantis-solutions,Curantis Solutions,https://curantissolutions.com/,curantissolutions.com,United States,Healthcare,Software,Fragmented clinical data and FHIR-related requirements limited analytics and interoperability,Research Agent C,claimed,2026-04-17T13:36:23.3861626Z,strong,https://curantissolutions.com/,https://aws.amazon.com/smart-business/case-studies/healthcare-smb-transforms-data-analytics-with-aws-healthlake/,en,AWS HealthLake,yes,curantis-solutions+curantissolutions.com,clear,,validated,approved,Validated in Phase 3
C-002,,Digital Practice,,,New Zealand,Healthcare Services,Therapy practice,Repetitive backend admin tasks consumed time better spent on practice work,Research Agent C,claimed,2026-04-17T13:36:23.3861626Z,medium,,https://www.zoho.com/flow/customers/digital-practice.html,en,Zoho Flow,partial,digital-practice+,clear,,research_candidate,pending,Needs stronger size evidence
C-003,curated-sme-c-003-healthserve,HealthServe,https://www.healthserve.org.sg/,healthserve.org.sg,Singapore,Health and Social Services,,Intake and follow-up for migrant-worker care and counseling needed stronger service management,Research Agent C,claimed,2026-04-17T13:36:23.3861626Z,strong,https://www.healthserve.org.sg/,https://www.zoho.com/desk/customers/healthserve.html,en,Zoho Desk,yes,healthserve+healthserve.org.sg,clear,,validated,approved,Validated in Phase 3
C-004,,Budget Challenge,https://www.budgetchallenge.com/Default.aspx,budgetchallenge.com,United States,Education,,CRM functionality in the previous tool was insufficient for business operations,Research Agent C,claimed,2026-04-17T13:36:23.3861626Z,strong,https://www.budgetchallenge.com/Home/AboutUs.aspx,https://www.zoho.com/desk/customers/budget-challenge.html,en,Zoho Desk,yes,budget-challenge+budgetchallenge.com,clear,,research_candidate,pending,LinkedIn lists ProperLiving LLC at 2-10 employees which is explicit micro-SME evidence alongside the official site
C-005,,NAF,https://naf.org/,naf.org,United States,Education,,Limited support staff still needed always-on support coverage for users,Research Agent C,claimed,2026-04-17T13:36:23.3861626Z,strong,https://naf.org/,https://www.zoho.com/desk/customers/naf.html,en,Zoho Desk,yes,naf+naf.org,clear,,research_candidate,pending,51-200 employees in source and public website confirmed
C-006,,ONE Business Solutions,,,United States,Professional Services,Call center and answering services,Scattered information across offices reduced visibility and slowed decisions,Research Agent C,claimed,2026-04-17T13:36:23.3861626Z,strong,,https://www.zoho.com/workplace/customers/onebusinesssolutions.html,en,Zoho Workplace,partial,one-business-solutions+,clear,,research_candidate,pending,125 employees in source; candidate domains onebusinesssolutions.com / onemvt.com / answeringserviceone.com all unreachable on 2026-04-17 so no live official site can be cited - demoted to reserve
